,id,seq_cluster_label,struct_cluster_label,special_structure
0,TanAAp,0,0,
1,TanALp,1,0,
2,TanASl,1,0,
3,TanASg,2,0,
4,TanBFnp,3,1,
5,TanBLpa,4,1,
6,TanBLpe,4,1,
7,TanBLp,4,1,
8,TanBSg,5,2,
9,TanBSs,6,1,
10,TanCb1,1,0,TanCb1
11,TanCb2,3,1,TanCb2
12,TanCb3,3,1,TanCb3
13,641746432,3,1,
14,647526067,3,1,
15,2505790797,3,1,
16,2509549983,2,0,
17,2511056385,2,0,
18,2515271184,3,1,
19,2520858584,3,1,
20,2532577375,3,1,
21,2554439104,3,1,
22,2554441166,3,1,
23,2559352011,3,1,
24,2559386245,3,1,
25,2561336272,3,1,
26,2561339177,3,1,
27,2561341273,3,1,
28,2564011747,3,1,
29,2567017550,3,1,
30,2567022283,3,1,
31,2567202592,3,1,
32,2567372575,3,1,
33,2567373568,3,1,
34,2567377351,3,1,
35,2635528200,3,1,
36,2678400947,3,1,
37,2705769279,2,0,
38,2765624323,3,1,
39,2813373532,3,1,
40,2813878675,3,1,
41,2843925074,3,1,
42,2847470013,3,1,
43,2849014119,3,1,
44,2856181804,3,1,
45,2856190891,3,1,
46,2859119394,3,1,
47,2859120770,3,1,
48,2859127800,3,1,
49,2859139131,3,1,
50,2869309611,3,1,
51,637258864,3,1,
52,646254125,3,1,
53,646256224,3,1,
54,644252663,0,0,
55,648818377,2,0,
56,651076336,2,0,
57,2515594305,6,1,
58,2518419131,1,0,
59,2518695199,1,0,
60,2518712047,1,0,
61,2521682749,6,1,
62,2521772704,6,1,
63,2525441047,2,0,
64,2525509443,2,0,
65,2525512195,2,0,
66,2526247906,2,0,
67,2541461213,0,0,
68,2545784013,2,0,
69,2549870083,3,1,
70,2553000633,1,0,
71,2561459174,2,0,
72,2562201711,2,0,
73,2562551738,2,0,
74,2563232424,1,0,
75,2571114083,2,0,
76,2585308755,6,1,
77,2586993216,1,0,
78,2599311692,2,0,
79,2600401283,1,0,
80,2608461850,0,0,
81,2624521198,3,1,
82,2629350457,1,0,
83,2630154569,1,0,
84,2631622569,1,0,
85,2635642811,6,1,
86,2636645018,2,0,
87,2641118398,1,0,
88,2641419026,6,1,
89,2644262238,6,1,
90,2644437127,6,1,
91,2645861674,6,1,
92,2649292179,6,1,
93,2654354322,2,0,
94,2654356166,0,0,
95,2661929472,1,0,
96,2663801603,1,0,
97,2676252688,6,1,
98,2685198825,6,1,
99,2685210361,6,1,
100,2697184229,1,0,
101,2702467603,6,1,
102,2723987974,2,0,
103,2725337609,0,0,
104,2731590348,6,1,
105,2731610882,6,1,
106,2733488751,1,0,
107,2743529465,1,0,
108,2745152095,1,0,
109,2745546911,1,0,
110,2755298023,1,0,
111,2766268657,6,1,
112,2767881435,6,1,
113,2768039407,6,1,
114,2768110288,6,1,
115,2771870499,1,0,
116,2772467531,6,1,
117,2773978781,6,1,
118,2774734325,1,0,
119,2777182996,6,1,
120,2785369462,6,1,
121,2786651172,6,1,
122,2786670570,6,1,
123,2786684491,6,1,
124,2790741903,0,0,
125,2794159888,6,1,
126,2798895369,6,1,
127,2798901129,6,1,
128,2798936322,6,1,
129,2800247947,2,0,
130,2800257106,2,0,
131,2800264098,2,0,
132,2800272269,2,0,
133,2800635855,2,0,
134,2800691517,2,0,
135,2800698379,2,0,
136,2800734521,2,0,
137,2800836454,0,0,
138,2805031640,6,1,
139,2805387677,1,0,
140,2805392336,1,0,
141,2805394774,1,0,
142,2805467496,1,0,
143,2805551944,1,0,
144,2805601234,1,0,
145,2808842023,6,1,
146,2808920540,6,1,
147,2812824980,1,0,
148,2812990800,1,0,
149,2813246512,1,0,
150,2813283681,1,0,
151,2813287926,1,0,
152,2826332774,1,0,
153,2826335383,1,0,
154,2826338038,1,0,
155,2826347370,1,0,
156,2826355069,1,0,
157,2831425956,2,0,
158,2834105888,0,0,
159,2837623044,0,0,
160,2840801686,0,0,
161,2846498488,0,0,
162,2846501797,0,0,
163,2851424282,1,0,
164,2862285611,6,1,
165,2866956199,0,0,
166,2867631196,6,1,
167,2867663697,6,1,
168,2872781297,6,1,
169,2873090557,6,1,
170,2882241440,1,0,
171,2900922251,1,0,
172,2907612462,1,0,
173,2910157584,2,0,
174,2911594683,0,0,
175,2916502694,1,0,
176,2917284031,2,0,
177,2925440118,1,0,
178,637389931,4,1,
179,646037829,3,1,
180,646038830,3,1,
181,648819057,5,2,
182,2518420498,4,1,
183,2545540001,4,1,
184,2572637226,4,1,
185,2580247201,4,1,
186,2581305531,4,1,
187,2596287002,5,2,
188,2597909647,4,1,
189,2599312445,5,2,
190,2608465151,5,2,
191,2608983103,5,2,
192,2612392617,4,1,
193,2621025926,5,2,
194,2621080637,3,1,
195,2641120372,4,1,
196,2642101342,4,1,
197,2649694916,4,1,
198,2656988094,3,1,
199,2673085225,4,1,
200,2734583469,1,0,
201,2745503175,4,1,
202,2771784190,3,1,
203,2777374232,6,1,
204,2790456210,3,1,
205,2791281950,3,1,
206,2793572515,3,1,
207,2800727165,2,0,
208,2808082563,3,1,
209,2808295654,3,1,
210,2810452938,3,1,
211,2812825829,4,1,
212,2812989787,4,1,
213,2815614087,3,1,
214,2832934002,3,1,
215,2835246207,3,1,
216,2842958932,3,1,
217,2844122133,3,1,
218,2854057680,3,1,
219,2882850827,3,1,
220,2885675413,4,1,
221,2915416054,3,1,
222,2917284871,5,2,
223,2923823150,3,1,
224,2925425477,4,1,
225,2925436013,4,1,
226,2925440967,4,1,
