,id,seq_cluster_label,struct_cluster_label,special_structure
0,TanAAp,0,0,
1,TanALp,1,1,
2,TanASl,1,2,
3,TanASg,2,3,
4,TanBFnp,3,4,
5,TanBLpa,4,4,
6,TanBLpe,4,4,
7,TanBLp,4,4,
8,TanBSg,5,5,
9,TanBSs,6,6,
10,TanCb1,1,1,TanCb1
11,TanCb2,3,-1,TanCb2
12,TanCb3,3,4,TanCb3
13,641746432,3,4,
14,647526067,3,4,
15,2505790797,3,4,
16,2509549983,2,3,
17,2511056385,2,3,
18,2515271184,3,4,
19,2520858584,3,4,
20,2532577375,3,4,
21,2554439104,3,4,
22,2554441166,3,4,
23,2559352011,3,-1,
24,2559386245,3,-1,
25,2561336272,3,4,
26,2561339177,3,4,
27,2561341273,3,4,
28,2564011747,3,4,
29,2567017550,3,4,
30,2567022283,3,4,
31,2567202592,3,4,
32,2567372575,3,4,
33,2567373568,3,4,
34,2567377351,3,4,
35,2635528200,3,4,
36,2678400947,3,4,
37,2705769279,2,3,
38,2765624323,3,4,
39,2813373532,3,4,
40,2813878675,3,4,
41,2843925074,3,4,
42,2847470013,3,4,
43,2849014119,3,4,
44,2856181804,3,4,
45,2856190891,3,4,
46,2859119394,3,4,
47,2859120770,3,4,
48,2859127800,3,4,
49,2859139131,3,4,
50,2869309611,3,4,
51,637258864,3,4,
52,646254125,3,4,
53,646256224,3,4,
54,644252663,0,0,
55,648818377,2,3,
56,651076336,2,3,
57,2515594305,6,6,
58,2518419131,1,1,
59,2518695199,1,1,
60,2518712047,1,1,
61,2521682749,6,6,
62,2521772704,6,6,
63,2525441047,2,3,
64,2525509443,2,3,
65,2525512195,2,3,
66,2526247906,2,3,
67,2541461213,0,0,
68,2545784013,2,3,
69,2549870083,3,4,
70,2553000633,1,2,
71,2561459174,2,3,
72,2562201711,2,3,
73,2562551738,2,3,
74,2563232424,1,1,
75,2571114083,2,3,
76,2585308755,6,6,
77,2586993216,1,1,
78,2599311692,2,3,
79,2600401283,1,2,
80,2608461850,0,0,
81,2624521198,3,4,
82,2629350457,1,1,
83,2630154569,1,1,
84,2631622569,1,1,
85,2635642811,6,6,
86,2636645018,2,3,
87,2641118398,1,1,
88,2641419026,6,6,
89,2644262238,6,6,
90,2644437127,6,6,
91,2645861674,6,6,
92,2649292179,6,6,
93,2654354322,2,3,
94,2654356166,0,0,
95,2661929472,1,1,
96,2663801603,1,1,
97,2676252688,6,6,
98,2685198825,6,6,
99,2685210361,6,6,
100,2697184229,1,1,
101,2702467603,6,6,
102,2723987974,2,3,
103,2725337609,0,0,
104,2731590348,6,6,
105,2731610882,6,6,
106,2733488751,1,1,
107,2743529465,1,1,
108,2745152095,1,1,
109,2745546911,1,1,
110,2755298023,1,-1,
111,2766268657,6,6,
112,2767881435,6,6,
113,2768039407,6,6,
114,2768110288,6,6,
115,2771870499,1,1,
116,2772467531,6,6,
117,2773978781,6,6,
118,2774734325,1,1,
119,2777182996,6,6,
120,2785369462,6,6,
121,2786651172,6,6,
122,2786670570,6,6,
123,2786684491,6,6,
124,2790741903,0,0,
125,2794159888,6,6,
126,2798895369,6,6,
127,2798901129,6,6,
128,2798936322,6,6,
129,2800247947,2,3,
130,2800257106,2,3,
131,2800264098,2,3,
132,2800272269,2,3,
133,2800635855,2,3,
134,2800691517,2,3,
135,2800698379,2,3,
136,2800734521,2,3,
137,2800836454,0,0,
138,2805031640,6,6,
139,2805387677,1,2,
140,2805392336,1,2,
141,2805394774,1,2,
142,2805467496,1,2,
143,2805551944,1,2,
144,2805601234,1,2,
145,2808842023,6,6,
146,2808920540,6,6,
147,2812824980,1,1,
148,2812990800,1,1,
149,2813246512,1,2,
150,2813283681,1,2,
151,2813287926,1,2,
152,2826332774,1,2,
153,2826335383,1,2,
154,2826338038,1,2,
155,2826347370,1,2,
156,2826355069,1,2,
157,2831425956,2,3,
158,2834105888,0,0,
159,2837623044,0,0,
160,2840801686,0,0,
161,2846498488,0,0,
162,2846501797,0,0,
163,2851424282,1,1,
164,2862285611,6,6,
165,2866956199,0,0,
166,2867631196,6,6,
167,2867663697,6,6,
168,2872781297,6,6,
169,2873090557,6,6,
170,2882241440,1,1,
171,2900922251,1,1,
172,2907612462,1,1,
173,2910157584,2,3,
174,2911594683,0,0,
175,2916502694,1,1,
176,2917284031,2,3,
177,2925440118,1,1,
178,637389931,4,4,
179,646037829,3,-1,
180,646038830,3,-1,
181,648819057,5,5,
182,2518420498,4,4,
183,2545540001,4,4,
184,2572637226,4,4,
185,2580247201,4,4,
186,2581305531,4,4,
187,2596287002,5,5,
188,2597909647,4,4,
189,2599312445,5,5,
190,2608465151,5,5,
191,2608983103,5,5,
192,2612392617,4,4,
193,2621025926,5,5,
194,2621080637,3,4,
195,2641120372,4,4,
196,2642101342,4,4,
197,2649694916,4,4,
198,2656988094,3,4,
199,2673085225,4,4,
200,2734583469,1,1,
201,2745503175,4,4,
202,2771784190,3,-1,
203,2777374232,6,6,
204,2790456210,3,-1,
205,2791281950,3,-1,
206,2793572515,3,4,
207,2800727165,2,3,
208,2808082563,3,4,
209,2808295654,3,4,
210,2810452938,3,4,
211,2812825829,4,4,
212,2812989787,4,4,
213,2815614087,3,-1,
214,2832934002,3,4,
215,2835246207,3,4,
216,2842958932,3,-1,
217,2844122133,3,-1,
218,2854057680,3,4,
219,2882850827,3,4,
220,2885675413,4,4,
221,2915416054,3,-1,
222,2917284871,5,5,
223,2923823150,3,4,
224,2925425477,4,4,
225,2925436013,4,4,
226,2925440967,4,4,
