,id,seq_cluster_label,struct_cluster_label
0,2563232424.pdb,0,0
1,2808082563.pdb,1,1
2,2837623044.pdb,0,0
3,2734583469.pdb,0,0
4,2673085225.pdb,1,1
5,2831425956.pdb,4,4
6,2768110288.pdb,2,2
7,2800827582.pdb,0,0
8,2642101342.pdb,1,1
9,2869309611.pdb,3,3
10,2812989787.pdb,1,1
11,2805031640.pdb,2,2
12,2505790797.pdb,1,1
13,2786670570.pdb,2,2
14,2790744589.pdb,0,0
15,2773978781.pdb,2,2
16,2846498488.pdb,0,0
17,2635642811.pdb,2,2
18,2733488751.pdb,0,0
19,641746432.pdb,3,3
20,2582171838.pdb,0,0
21,2509549983.pdb,4,4
22,2835246207.pdb,1,1
23,2841219448.pdb,0,0
24,2842958932.pdb,1,1
25,2805392336.pdb,0,0
26,2843925074.pdb,3,3
27,2859139131.pdb,3,3
28,2885675413.pdb,1,1
29,2596287002.pdb,1,4
30,2923490717.pdb,0,0
31,2925440967.pdb,1,1
32,2599311692.pdb,4,4
33,2798901129.pdb,2,2
34,2925425477.pdb,1,1
35,2777946331.pdb,4,4
36,2561341273.pdb,3,3
37,2800727165.pdb,4,4
38,2649694916.pdb,1,1
39,2609146504.pdb,0,0
40,2776324838.pdb,0,0
41,650748690.pdb,4,4
42,2587225559.pdb,0,0
43,2882850827.pdb,1,1
44,2798895369.pdb,2,2
45,2777182996.pdb,2,2
46,TanBSg.pdb,1,4
47,TanBFnp.pdb,3,3
48,2812824980.pdb,0,0
49,2521682749.pdb,2,2
50,2789340305.pdb,0,0
51,2798936322.pdb,2,2
52,2745503175.pdb,1,1
53,2832934002.pdb,1,1
54,2846501797.pdb,0,0
55,2800836454.pdb,0,0
56,2840801686.pdb,0,0
57,2608983103.pdb,1,4
58,2545784013.pdb,4,4
59,2856181804.pdb,3,3
60,2805601234.pdb,0,0
61,2661929472.pdb,0,0
62,2511056385.pdb,4,4
63,2813878675.pdb,1,1
64,2745152095.pdb,0,0
65,2663663996.pdb,0,0
66,2559783787.pdb,0,0
67,TanCb2.pdb,1,1
68,2525441047.pdb,4,4
69,2867663697.pdb,2,2
70,2518420498.pdb,1,1
71,646037829.pdb,1,1
72,2813287926.pdb,0,0
73,2518419131.pdb,0,0
74,2768039407.pdb,2,2
75,2900922251.pdb,0,0
76,2559698877.pdb,0,0
77,2859119394.pdb,3,3
78,TanBLpe.pdb,1,1
79,2923823150.pdb,1,1
80,648818377.pdb,4,4
81,2859120770.pdb,3,3
82,2561325321.pdb,0,0
83,2731590348.pdb,2,2
84,2621080637.pdb,1,1
85,2790746446.pdb,0,0
86,2567377351.pdb,3,3
87,2812990800.pdb,0,0
88,2790741903.pdb,0,0
89,2520858584.pdb,3,3
90,2612392617.pdb,1,1
91,2525512195.pdb,4,4
92,2790749455.pdb,0,0
93,2808920540.pdb,2,2
94,2766268657.pdb,2,2
95,2862285611.pdb,2,2
96,2525509443.pdb,4,4
97,2847470013.pdb,3,3
98,2654354322.pdb,4,4
99,2561327489.pdb,0,0
100,2629350457.pdb,0,0
101,2826347370.pdb,0,0
102,2598962618.pdb,0,0
103,2553000633.pdb,0,0
104,2571114083.pdb,4,4
105,2786651172.pdb,2,2
106,2630154569.pdb,0,0
107,2678400947.pdb,3,3
108,2916502694.pdb,0,0
109,2601013064.pdb,0,0
110,2813373532.pdb,1,1
111,2521772704.pdb,2,2
112,2800691517.pdb,4,4
113,2567373568.pdb,3,3
114,2641419026.pdb,2,2
115,2813246512.pdb,0,0
116,2805387677.pdb,0,0
117,2844122133.pdb,1,1
118,2805394774.pdb,0,0
119,2572637226.pdb,1,1
120,TanASg.pdb,4,4
121,2856190891.pdb,3,3
122,2567022283.pdb,3,3
123,2810452938.pdb,1,1
124,637389931.pdb,1,1
125,2549870083.pdb,1,3
126,2767881435.pdb,2,2
127,2545540001.pdb,1,1
128,2805551944.pdb,0,0
129,2685210361.pdb,2,2
130,2786684491.pdb,2,2
131,2865153889.pdb,0,0
132,2701455799.pdb,1,1
133,2834105888.pdb,0,0
134,2882241440.pdb,0,0
135,2743529465.pdb,0,0
136,2793572515.pdb,1,1
137,2697184229.pdb,0,0
138,2859127800.pdb,3,3
139,2800272269.pdb,4,4
140,2631622569.pdb,0,0
141,2663801603.pdb,0,0
142,2705769279.pdb,4,4
143,2541461213.pdb,0,0
144,648819057.pdb,1,4
145,2562551738.pdb,4,4
146,2790753388.pdb,0,0
147,2518695199.pdb,0,0
148,2688359802.pdb,0,0
149,2866956199.pdb,0,0
150,2567372575.pdb,3,3
151,2515271184.pdb,1,3
152,2562201711.pdb,4,4
153,2794159888.pdb,2,2
154,2917284871.pdb,1,4
155,2911594683.pdb,0,0
156,2644437127.pdb,2,2
157,2790456210.pdb,1,1
158,2800264098.pdb,4,4
159,2580247201.pdb,1,1
160,2772467531.pdb,2,2
161,2608461850.pdb,0,0
162,2559386245.pdb,1,3
163,2561336272.pdb,3,3
164,2599312445.pdb,1,4
165,2910157584.pdb,4,4
166,2559352011.pdb,1,3
167,2805467496.pdb,0,0
168,2532577375.pdb,3,3
169,2541814430.pdb,0,0
170,TanCb3.pdb,1,1
171,651076336.pdb,4,4
172,2777374232.pdb,2,2
173,2685198825.pdb,2,2
174,2600401283.pdb,0,0
175,2753158319.pdb,0,0
176,2800257106.pdb,4,4
177,2567202592.pdb,3,3
178,TanASl.pdb,0,0
179,2561339177.pdb,3,3
180,2518712047.pdb,0,0
181,2586993216.pdb,0,0
182,2597909647.pdb,1,1
